order_id,order_item_id,product_id,seller_id,quantity,unit_price_inr,discount_inr,freight_inr,line_total_inr
ORD000000000,1,PROD0000090,SELL000092,1,4992.0,263.0,205.0,5197.0
ORD000000001,1,PROD0000157,SELL000074,1,28360.0,3151.0,175.0,28535.0
ORD000000002,1,PROD0000486,SELL000040,1,1215.0,0.0,52.0,1267.0
ORD000000003,1,PROD0000306,SELL000058,1,843.0,44.0,63.0,906.0
ORD000000003,2,PROD0000029,SELL000075,1,410.0,46.0,38.0,448.0
ORD000000003,3,PROD0000058,SELL000031,2,4118.0,458.0,59.0,8295.0
ORD000000003,4,PROD0000321,SELL000104,1,1214.0,304.0,66.0,1280.0
ORD000000004,1,PROD0000071,SELL000046,2,28143.0,0.0,31.0,56317.0
ORD000000005,1,PROD0000075,SELL000079,2,447.0,191.0,58.0,952.0
ORD000000005,2,PROD0000241,SELL000053,3,482.0,0.0,49.0,1495.0
ORD000000006,1,PROD0000229,SELL000100,2,387.0,166.0,150.0,924.0
ORD000000007,1,PROD0000490,SELL000070,1,1639.0,0.0,130.0,1769.0
ORD000000008,1,PROD0000467,SELL000077,2,8719.0,969.0,41.0,17479.0
ORD000000008,2,PROD0000484,SELL000081,3,424.0,182.0,60.0,1332.0
ORD000000009,1,PROD0000038,SELL000034,1,1628.0,0.0,76.0,1704.0
ORD000000010,1,PROD0000418,SELL000036,1,217.0,54.0,39.0,256.0
ORD000000011,1,PROD0000488,SELL000086,1,1401.0,156.0,247.0,1648.0
ORD000000012,1,PROD0000318,SELL000048,1,53220.0,2801.0,42.0,53262.0
ORD000000013,1,PROD0000518,SELL000069,2,16166.0,2853.0,156.0,32488.0
ORD000000013,2,PROD0000418,SELL000054,1,271.0,0.0,65.0,336.0
ORD000000013,3,PROD0000349,SELL000003,1,836.0,148.0,57.0,893.0
ORD000000013,4,PROD0000211,SELL000049,2,1736.0,0.0,115.0,3587.0
ORD000000013,5,PROD0000185,SELL000018,1,217.0,38.0,175.0,392.0
ORD000000014,1,PROD0000205,SELL000009,1,13798.0,1533.0,41.0,13839.0
ORD000000015,1,PROD0000130,SELL000027,1,4503.0,0.0,75.0,4578.0
ORD000000016,1,PROD0000301,SELL000030,2,1738.0,0.0,68.0,3544.0
ORD000000017,1,PROD0000225,SELL000078,3,1524.0,169.0,251.0,4823.0
