order_id,customer_id,order_status,order_purchase_ts,order_approved_ts,payment_type
ORD000000000,CUST00000003,delivered,2023-10-15 22:37:17,2023-10-15 23:11:17,COD
ORD000000001,CUST00000001,delivered,2023-12-20 02:00:17,2023-12-20 11:44:17,COD
ORD000000002,CUST00000002,delivered,2023-03-07 12:56:37,2023-03-08 00:20:37,UPI
ORD000000003,CUST00000023,delivered,2023-12-30 11:16:26,2023-12-30 17:04:26,UPI
ORD000000004,CUST00000002,returned,2023-01-20 03:37:47,2023-01-20 10:57:47,COD
ORD000000005,CUST00000031,delivered,2024-04-30 06:37:34,2024-04-30 08:20:34,COD
ORD000000006,CUST00000042,delivered,2023-10-28 20:32:26,2023-10-29 05:06:26,COD
ORD000000007,CUST00000004,cancelled,2023-06-11 09:24:02,2023-06-11 16:16:02,Credit Card
ORD000000008,CUST00000003,delivered,2023-01-10 12:53:07,2023-01-10 13:24:07,COD
ORD000000009,CUST00000001,delivered,2024-11-08 18:39:01,2024-11-09 04:49:01,COD
ORD000000010,CUST00000001,cancelled,2024-02-14 10:45:21,2024-02-14 16:02:21,COD
ORD000000011,CUST00000001,delivered,2024-05-03 21:23:21,2024-05-04 09:18:21,UPI
ORD000000012,CUST00000001,delivered,2024-08-27 11:59:35,2024-08-27 22:36:35,UPI
ORD000000013,CUST00000001,delivered,2024-04-15 23:39:29,2024-04-16 04:44:29,UPI
ORD000000014,CUST00000006,shipped,2023-11-04 03:32:12,2023-11-04 03:45:12,UPI
ORD000000015,CUST00000004,processing,2024-04-16 21:18:54,2024-04-16 23:07:54,Debit Card
ORD000000016,CUST00000001,delivered,2023-08-04 02:42:20,2023-08-04 06:14:20,Debit Card
ORD000000017,CUST00000001,delivered,2024-02-18 19:30:56,2024-02-18 23:07:56,COD
ORD000000018,CUST00000001,delivered,2023-06-24 15:52:38,2023-06-24 20:09:38,COD
ORD000000019,CUST00000001,delivered,2024-11-05 13:25:43,2024-11-06 00:52:43,Wallet
ORD000000020,CUST00000002,shipped,2024-01-04 21:07:47,2024-01-05 05:14:47,UPI
ORD000000021,CUST00000003,delivered,2023-07-19 15:22:38,2023-07-19 17:43:38,Net Banking
ORD000000022,CUST00000029,processing,2024-04-27 16:40:01,2024-04-28 01:08:01,COD
ORD000000023,CUST00000002,delivered,2023-03-15 18:06:12,2023-03-15 18:51:12,Wallet
ORD000000024,CUST00000071,delivered,2023-11-18 20:10:43,2023-11-18 21:01:43,COD
ORD000000025,CUST00000001,delivered,2024-10-20 05:34:17,2024-10-20 13:19:17,UPI
ORD000000026,CUST00000001,delivered,2024-08-17 20:16:28,2024-08-17 22:56:28,COD
ORD000000027,CUST00000001,delivered,2024-06-22 14:08:11,2024-06-22 19:25:11,COD
ORD000000028,CUST00000023,delivered,2023-12-20 00:46:08,2023-12-20 10:41:08,COD
ORD000000029,CUST00000335,shipped,2023-11-30 22:02:32,2023-12-01 02:44:32,COD
ORD000000030,CUST00000001,delivered,2023-01-05 18:30:10,2023-01-05 20:52:10,COD
ORD000000031,CUST00000001,delivered,2024-03-23 21:23:53,2024-03-24 09:22:53,Wallet
ORD000000032,CUST00000001,delivered,2024-03-03 18:31:48,2024-03-03 22:00:48,Wallet
ORD000000033,CUST00000019,delivered,2023-01-02 08:17:32,2023-01-02 16:13:32,Debit Card
ORD000000034,CUST00000001,delivered,2023-04-25 08:23:58,2023-04-25 10:24:58,Net Banking
ORD000000035,CUST00000002,delivered,2023-01-06 06:38:07,2023-01-06 08:38:07,Credit Card
ORD000000036,CUST00000005,delivered,2023-08-05 09:50:10,2023-08-05 18:54:10,Wallet
ORD000000037,CUST00000002,delivered,2023-01-02 00:50:04,2023-01-02 11:36:04,COD
ORD000000038,CUST00000001,delivered,2023-11-05 17:53:30,2023-11-05 18:17:30,COD
ORD000000039,CUST00000004,delivered,2023-12-24 18:03:24,2023-12-25 05:45:24,Debit Card
ORD000000040,CUST00000001,processing,2023-11-21 23:40:38,2023-11-22 03:20:38,COD
ORD000000041,CUST00000012,delivered,2023-06-18 13:12:51,2023-06-19 01:02:51,UPI
ORD000000042,CUST00000017,shipped,2024-01-16 23:42:28,2024-01-17 06:07:28,UPI
ORD000000043,CUST00000002,delivered,2024-09-26 05:02:13,2024-09-26 14:14:13,COD
ORD000000044,CUST00000002,delivered,2023-09-07 11:22:20,2023-09-07 11:31:20,COD
ORD000000045,CUST00000001,delivered,2023-09-25 18:46:46,2023-09-25 20:43:46,UPI
ORD000000046,CUST00000002,delivered,2024-02-02 18:56:57,2024-02-03 06:23:57,COD
ORD000000047,CUST00000001,returned,2023-07-19 18:34:06,2023-07-19 20:36:06,COD
ORD000000048,CUST00000019,delivered,2023-10-07 11:11:07,2023-10-07 21:37:07,UPI
ORD000000049,CUST00000048,delivered,2023-12-04 01:45:13,2023-12-04 03:14:13,COD
ORD000000050,CUST00000003,delivered,2023-10-26 20:46:58,2023-10-27 04:33:58,COD
