order_id,payment_sequential,payment_type,payment_installments,payment_value_inr,payment_status
ORD000000000,1,COD,1,5197.0,paid
ORD000000001,1,COD,1,28535.0,paid
ORD000000002,1,UPI,1,1267.0,paid
ORD000000003,1,UPI,1,10929.0,paid
ORD000000004,1,COD,1,,refunded
ORD000000005,1,COD,1,2447.0,paid
ORD000000006,1,COD,1,924.0,paid
ORD000000007,1,Credit Card,1,1769.0,Failed
ORD000000008,1,COD,1,18811.0,paid
ORD000000009,1,COD,1,1704.0,paid
ORD000000010,1,COD,1,256.0,failed
ORD000000011,1,UPI,1,1648.0,paid
ORD000000012,1,UPI,1,53262.0,paid
ORD000000013,1,UPI,1,37696.0,paid
ORD000000014,1,UPI,1,13839.0,paid
ORD000000015,1,Debit Card,1,4578.0,paid
ORD000000016,1,Debit Card,1,3544.0,paid
ORD000000017,1,COD,1,4823.0,paid
ORD000000018,1,COD,1,1845.0,paid
ORD000000019,1,Wallet,1,18764.0,paid
ORD000000020,1,UPI,1,218.0,paid
ORD000000021,1,Net Banking,1,431.0,paid
ORD000000022,1,COD,1,13213.0,paid
ORD000000023,1,Wallet,1,1045.0,paid
ORD000000024,1,COD,1,174723.0,Success
ORD000000025,1,UPI,1,434.0,paid
ORD000000026,1,COD,1,1799.0,PAID
ORD000000027,1,COD,1,119620.0,paid
ORD000000028,1,COD,1,8710.0,paid
ORD000000029,1,COD,1,1748.0,paid
ORD000000030,1,COD,1,1342.0,paid
ORD000000031,1,Wallet,1,2966.0,paid
ORD000000032,1,Wallet,1,2791.0,paid
ORD000000033,1,Debit Card,1,19031.0,paid
ORD000000034,1,Net Banking,1,4340.0,paid
ORD000000035,1,Credit Card,3,17277.0,paid
ORD000000036,1,Wallet,1,1232.0,paid
ORD000000037,1,COD,1,9874.0,paid
ORD000000038,1,COD,1,15084.0,paid
ORD000000039,1,Debit Card,1,1834.0,paid
ORD000000040,1,COD,1,2267.0,paid
ORD000000041,1,UPI,1,68229.0,paid
ORD000000042,1,UPI,1,2328.0,Success
ORD000000043,1,COD,1,331.0,paid
ORD000000044,1,COD,1,6177.0,paid
ORD000000045,1,UPI,1,4394.0,paid
ORD000000046,1,COD,1,1307.0,paid
ORD000000047,1,COD,1,2374.0,refunded
ORD000000048,1,UPI,1,41876.0,paid
ORD000000049,1,COD,1,2901.0,paid
ORD000000050,1,COD,1,82021.0,paid
ORD000000051,1,UPI,1,47552.0,paid
ORD000000052,1,COD,1,894.0,paid
ORD000000053,1,Wallet,1,10815.0,paid
