product_id,product_name,category,subcategory,brand,mrp_inr,weight_grams
PROD0000000,Kanha Kids Wear,Fashion,Kids Wear,Bluewood,1315.0,820
PROD0000001,Nova Power Banks,Mobiles & Accessories,Power Banks,Sattva,9099.0,152
PROD0000002,Tanish Cases & Covers,Mobiles & Accessories,Cases & Covers,Bluewood,8262.0,274
PROD0000003,Aveer Footwear,Sports & Fitness,Footwear,Kanha,892.0,12652
PROD0000004,BharatTech Cases & Covers,Mobiles & Accessories,Cases & Covers,Nirvi,16744.0,128
PROD0000005,BharatTech Earphones,Mobiles & Accessories,Earphones,Meraki,12416.0,190
PROD0000006,Prisma Beverages,Grocery,Beverages,Yugen,517.0,8491
PROD0000007,Rasa Haircare,Beauty & Personal Care,Haircare,Yugen,611.0,617
PROD0000008,Vayu Kids Wear,Fashion,Kids Wear,Orion,943.0,640
PROD0000009,Aveer Makeup,Beauty & Personal Care,Makeup,Vayu,389.0,228
PROD0000010,Nirvi School Supplies,Toys & Baby,School Supplies,Orion,372.0,1485
PROD0000011,Tanish Earphones,Mobiles & Accessories,Earphones,Amara,35115.0,254
PROD0000012,Nirvi Monitors,Electronics,Monitors,Araku,39438.0,4073
PROD0000013,Kaya Beverages,Grocery,Beverages,Aveer,1306.0,9696
PROD0000014,Suraj Non-Fiction,Books,Non-Fiction,Bluewood,107.0,956
PROD0000015,Tanish Cricket,Sports & Fitness,Cricket,Zenda,3540.0,14562
PROD0000016,Vayu Men Topwear,Fashion,Men Topwear,BharatTech,1530.0,364
PROD0000017,Yugen Fitness Equipment,Sports & Fitness,Fitness Equipment,Yugen,2330.0,2477
PROD0000018,Rasa Footwear,Fashion,Footwear,Araku,1102.0,1008
PROD0000019,Trisha Fan,Appliances,Fan,Nirvi,2639.0,21872
PROD0000020,Suraj Snacks,Grocery,Snacks,Vira,1645.0,2350
PROD0000021,Vira Smart Watches,Electronics,Smart Watches,Kanha,19630.0,7805
PROD0000022,Amara Cameras,Electronics,Cameras,Zivame,13749.0,2204
PROD0000023,Trisha Decor,Home & Kitchen,Decor,Suraj,1587.0,2377
PROD0000024,Bluewood Staples,Grocery,Staples,Amara,114.0,3061
PROD0000025,Vayu Smartphones,Mobiles & Accessories,Smartphones,Amara,13550.0,122
PROD0000026,Tanish Beverages,GROCERY,Beverages,Zivame,89.0,4950
PROD0000027,Orion Watches,Fashion,Watches,Amara,1418.0,478
PROD0000028,Araku Men Topwear,Fashion,Men Topwear,Kaya,285.0,313
PROD0000029,Orion Kids Wear,Fashion,Kids Wear,Meraki,456.0,265
PROD0000030,Nova Baby Care,Toys & Baby,Baby Care,Vayu,1097.0,1049
PROD0000031,Vira Smartphones,Mobiles & Accessories,Smartphones,Vira,15491.0,387
PROD0000032,Trisha Cookware,Home & Kitchen,Cookware,Nova,2616.0,2055
PROD0000033,Nova Power Banks,Mobiles & Accessories,Power Banks,Vira,6989.0,344
PROD0000034,Rasa School Supplies,Toys & Baby,School Supplies,Kanha,285.0,2388
PROD0000035,Vayu Non-Fiction,Books,Non-Fiction,Rasa,695.0,1119
PROD0000036,Vayu Monitors,Electronics,Monitors,Kanha,41591.0,6696
PROD0000037,Bluewood Watches,Fashion,Watches,Vira,736.0,998
PROD0000038,BharatTech Kids Wear,Fashion,Kids Wear,Tanish,1628.0,1390
PROD0000039,Suraj Women Ethnic,Fashion,Women Ethnic,Nirvi,2529.0,453
PROD0000040,Kaya Staples,Grocery,Staples,Sattva,298.0,8470
PROD0000041,Tanish Decor,Home & Kitchen,Decor,Zivame,814.0,7337
PROD0000042,Zenda Bags,Fashion,Bags,Nirvi,821.0,404
PROD0000043,Amara Water Purifier,Appliances,Water Purifier,BharatTech,2365.0,19731
PROD0000044,Kaya Men Topwear,Fashion,Men Topwear,Amara,642.0,959
PROD0000045,Kaya Cases & Covers,Mobiles & Accessories,Cases & Covers,Suraj,12300.0,390
PROD0000046,Yugen Power Banks,Mobiles & Accessories,Power Banks,Sattva,16533.0,213
PROD0000047,Nova Men Topwear,Fashion,Men Topwear,Aveer,307.0,300
PROD0000048,Prisma Haircare,Beauty & Personal Care,Haircare,Meraki,1786.0,651
PROD0000049,Vayu Earphones,Mobiles & Accessories,Earphones,Meraki,12219.0,157
PROD0000050,Orion Cookware,Home & Kitchen,Cookware,Meraki,1079.0,1674
PROD0000051,Aveer Cameras,Electronics,Cameras,Rasa,12547.0,941
PROD0000052,Sattva Iron,Appliances,Iron,Bluewood,3697.0,7967
PROD0000053,Ovi Smartphones,Mobiles & Accessories,Smartphones,Nirvi,11483.0,399
PROD0000054,Tanish Watches,Fashion,Watches,Rasa,1446.0,224
PROD0000055,Amara Earphones,Mobiles & Accessories,Earphones,Aveer,17953.0,300
PROD0000056,Rasa Men Topwear,Fashion,Men Topwear,Rasa,664.0,993
PROD0000057,Zenda Smartphones,Mobiles & Accessories,Smartphones,Meraki,34506.0,324
PROD0000058,Nirvi Women Ethnic,Fashion,Women Ethnic,Meraki,4575.0,835
PROD0000059,BharatTech Regional,Books,Regional,Zenda,364.0,676
PROD0000060,Meraki Cases & Covers,Mobiles & Accessories,Cases & Covers,Kanha,16244.0,97
PROD0000061,Meraki Water Purifier,Appliances,Water Purifier,Suraj,3195.0,4654
PROD0000062,Nova Storage,Home & Kitchen,Storage,Meraki,853.0,4392
PROD0000063,Aveer Dining,Home & Kitchen,Dining,Nirvi,823.0,7416
PROD0000064,Amara Storage,Home & Kitchen,Storage,Kanha,937.0,4678
PROD0000065,Amara Bags,Fashion,Bags,Bluewood,599.0,140
PROD0000066,Nova Iron,Appliances,Iron,Orion,6769.0,21210
PROD0000067,Bluewood Academic,books,Academic,Vayu,391.0,691
PROD0000068,Vira Regional,Books,Regional,Bluewood,176.0,1165
PROD0000069,Zivame Speakers,Electronics,Speakers,Amara,79774.0,4874
PROD0000070,Kaya Grooming,Beauty & Personal Care,Grooming,Kaya,518.0,667
PROD0000071,Sattva Chargers,Mobiles & Accessories,Chargers,Aveer,28143.0,352
PROD0000072,Zivame Decor,Home & Kitchen,Decor,Vira,1166.0,9963
PROD0000073,Nirvi Earphones,Mobiles & Accessories,Earphones,Indus,21112.0,225
PROD0000074,Araku Smart Watches,Electronics,Smart Watches,Suraj,16415.0,5927
PROD0000075,Sattva Haircare,Beauty & Personal Care,Haircare,Kanha,638.0,665
PROD0000076,Zivame Staples,Grocery,Staples,Zivame,395.0,5531
PROD0000077,Bluewood Chargers,Mobiles & Accessories,Chargers,Nirvi,27232.0,316
PROD0000078,BharatTech Storage,Home & Kitchen,Storage,Nirvi,1793.0,8317
PROD0000079,Ovi Makeup,Beauty & Personal Care,Makeup,Nova,480.0,129
PROD0000080,Bluewood Diapers,Toys & Baby,Diapers,Indus,817.0,2273
PROD0000081,Yugen Makeup,Beauty & Personal Care,Makeup,Suraj,763.0,271
PROD0000082,Trisha Smartphones,Mobiles & Accessories,Smartphones,Kaya,10726.0,336
PROD0000083,Amara Cases & Covers,Mobiles & Accessories,Cases & Covers,Yugen,13386.0,69
