return_id,order_id,order_item_id,product_id,return_reason,return_status,return_qty,refund_amount_inr,return_requested_ts,return_completed_ts
RET00000000,ORD000000004,1,PROD0000071,Better price available,completed,2,56286.0,2023-01-29 14:37:47,2023-01-31 14:37:47
RET00000001,ORD000000047,1,PROD0000227,Better price available,completed,1,912.0,2023-08-04 02:34:06,2023-08-09 02:34:06
RET00000002,ORD000000058,1,PROD0000453,Better price available,completed,3,1062.0,2024-08-18 23:55:28,2024-08-27 23:55:28
RET00000003,ORD000000060,1,PROD0000054,Size/fit issue,approved,1,1446.0,2023-07-28 09:30:13,2023-08-01 09:30:13
RET00000004,ORD000000060,2,PROD0000232,Quality not as expected,rejected,2,36952.0,2023-07-22 09:30:13,2023-07-24 09:30:13
RET00000005,ORD000000060,3,PROD0000369,Better price available,completed,1,69.0,2023-07-25 09:30:13,2023-07-31 09:30:13
RET00000006,ORD000000144,1,PROD0000332,Quality not as expected,completed,1,52020.0,2023-06-10 04:23:47,2023-06-12 04:23:47
RET00000007,ORD000000165,1,PROD0000090,Quality not as expected,completed,1,4992.0,2023-12-09 18:28:20,2023-12-19 18:28:20
RET00000008,ORD000000226,1,PROD0000455,Quality not as expected,rejected,3,31038.0,2024-11-23 16:23:23,2024-11-29 16:23:23
RET00000009,ORD000000226,2,PROD0000232,Changed my mind,approved,3,65208.0,2024-11-15 16:23:23,2024-11-27 16:23:23
RET00000010,ORD000000226,3,PROD0000032,Size/fit issue,completed,1,2616.0,2024-11-22 16:23:23,2024-11-24 16:23:23
RET00000011,ORD000000236,1,PROD0000008,Quality not as expected,completed,2,1604.0,2023-10-29 14:35:31,2023-11-04 14:35:31
RET00000012,ORD000000256,1,PROD0000471,Defective/not working,completed,1,1259.0,2024-06-08 20:36:03,2024-06-21 20:36:03
RET00000013,ORD000000256,2,PROD0000321,Defective/not working,rejected,3,3189.0,2024-06-09 20:36:03,2024-06-15 20:36:03
RET00000014,ORD000000281,1,PROD0000274,Changed my mind,completed,3,1038.0,2024-08-30 17:02:30,2024-09-05 17:02:30
RET00000015,ORD000000286,1,PROD0000118,Defective/not working,completed,1,2647.0,2023-10-24 20:10:13,2023-10-26 20:10:13
RET00000016,ORD000000298,1,PROD0000384,Size/fit issue,completed,1,510.0,2023-06-28 20:03:24,2023-07-06 20:03:24
RET00000017,ORD000000300,2,PROD0000033,Changed my mind,completed,1,6640.0,2024-10-09 18:33:08,2024-10-20 18:33:08
RET00000018,ORD000000300,3,PROD0000160,Defective/not working,approved,1,17695.0,2024-10-11 18:33:08,2024-10-22 18:33:08
RET00000019,ORD000000300,5,PROD0000059,Damaged product,completed,1,328.0,2024-10-10 18:33:08,2024-10-14 18:33:08
RET00000020,ORD000000311,1,PROD0000206,Quality not as expected,completed,1,565.0,2024-01-15 11:46:34,2024-01-21 11:46:34
RET00000021,ORD000000355,1,PROD0000485,Quality not as expected,requested,1,1621.0,2024-03-15 08:43:01,2024-03-17 08:43:01
RET00000022,ORD000000355,2,PROD0000338,Size/fit issue,completed,1,315.0,2024-03-07 08:43:01,2024-03-13 08:43:01
RET00000023,ORD000000376,1,PROD0000075,Better price available,completed,1,606.0,2023-10-25 23:14:59,2023-11-07 23:14:59
RET00000024,ORD000000436,1,PROD0000194,Changed my mind,requested,3,28449.0,2023-12-08 13:24:25,2023-12-13 13:24:25
RET00000025,ORD000000457,3,PROD0000285,Wrong item delivered,completed,1,658.0,2024-11-19 11:40:33,2024-11-27 11:40:33
RET00000026,ORD000000457,5,PROD0000184,Item arrived late,completed,1,17526.0,2024-11-15 11:40:33,2024-11-29 11:40:33
RET00000027,ORD000000492,2,PROD0000227,Item arrived late,requested,2,1716.0,2024-03-14 23:08:02,2024-03-28 23:08:02
RET00000028,ORD000000496,1,PROD0000023,Size/fit issue,requested,2,2856.0,2023-03-20 05:13:10,2023-03-24 05:13:10
RET00000029,ORD000000551,1,PROD0000245,Wrong item delivered,completed,2,9586.0,2023-04-20 11:38:01,2023-04-27 11:38:01
RET00000030,ORD000000551,2,PROD0000196,Item arrived late,completed,1,1753.0,2023-04-30 11:38:01,2023-05-10 11:38:01
RET00000031,ORD000000577,1,PROD0000258,Changed my mind,completed,1,7482.0,2023-09-07 20:42:51,2023-09-21 20:42:51
RET00000032,ORD000000702,2,PROD0000392,Quality not as expected,completed,3,18024.0,2023-10-24 04:50:54,2023-11-03 04:50:54
RET00000033,ORD000000733,1,PROD0000417,Changed my mind,completed,3,43968.0,2023-08-17 08:41:15,2023-08-28 08:41:15
RET00000034,ORD000000733,4,PROD0000314,Better price available,completed,1,17443.0,2023-08-18 08:41:15,2023-08-25 08:41:15
RET00000035,ORD000000755,1,PROD0000385,Damaged product,completed,1,3484.0,2024-07-23 03:39:46,2024-07-26 03:39:46
RET00000036,ORD000000755,2,PROD0000245,Damaged product,requested,1,5392.0,2024-07-23 03:39:46,2024-08-03 03:39:46
RET00000037,ORD000000755,3,PROD0000423,Quality not as expected,requested,1,342.0,2024-07-17 03:39:46,2024-07-24 03:39:46
RET00000038,ORD000000897,1,PROD0000264,Damaged product,completed,1,2092.0,2024-01-25 04:54:50,2024-01-29 04:54:50
RET00000039,ORD000000916,1,PROD0000334,Wrong item delivered,completed,1,478.0,2024-12-03 22:57:40,2024-12-11 22:57:40
RET00000040,ORD000000981,1,PROD0000439,Damaged product,requested,2,25748.0,2023-06-10 12:23:44,2023-06-13 12:23:44
RET00000041,ORD000000981,3,PROD0000415,Damaged product,completed,3,1782.0,2023-06-11 12:23:44,2023-06-21 12:23:44
RET00000042,ORD000000981,4,PROD0000358,Changed my mind,rejected,3,28953.0,2023-06-11 12:23:44,2023-06-21 12:23:44
RET00000043,ORD000000982,1,PROD0000185,Quality not as expected,approved,3,726.0,2025-01-05 01:09:13,2025-01-12 01:09:13
RET00000044,ORD000000982,2,PROD0000276,Changed my mind,completed,1,373.0,2025-01-04 01:09:13,2025-01-09 01:09:13
RET00000045,ORD000000982,3,PROD0000041,Wrong item delivered,completed,1,692.0,2025-01-06 01:09:13,2025-01-14 01:09:13
RET00000046,ORD000000991,2,PROD0000139,Defective/not working,completed,2,4840.0,2024-01-19 18:46:16,2024-02-01 18:46:16
RET00000047,ORD000000991,4,PROD0000037,Changed my mind,approved,1,662.0,2024-01-14 18:46:16,2024-01-19 18:46:16
RET00000048,ORD000000991,5,PROD0000098,Size/fit issue,rejected,2,716.0,2024-01-15 18:46:16,2024-01-24 18:46:16
RET00000049,ORD000001064,1,PROD0000375,Defective/not working,completed,3,4986.0,2024-10-26 09:19:22,2024-11-04 09:19:22
RET00000050,ORD000001095,1,PROD0000392,Defective/not working,completed,3,18024.0,2023-11-04 19:11:15,2023-11-08 19:11:15
RET00000051,ORD000001109,1,PROD0000238,Defective/not working,completed,2,2122.0,2024-07-30 02:01:49,2024-08-07 02:01:49
RET00000052,ORD000001110,2,PROD0000216,Changed my mind,completed,2,642.0,2024-05-25 03:00:52,2024-05-30 03:00:52
RET00000053,ORD000001119,1,PROD0000146,Damaged product,completed,2,91396.0,2023-06-05 16:13:11,2023-06-17 16:13:11
RET00000054,ORD000001120,1,PROD0000062,Better price available,completed,2,1706.0,2024-10-21 17:35:11,2024-10-30 17:35:11
RET00000055,ORD000001143,3,PROD0000343,Wrong item delivered,completed,1,1839.0,2023-07-05 10:07:19,2023-07-14 10:07:19
RET00000056,ORD000001149,1,PROD0000123,Damaged product,completed,3,107412.0,2023-09-24 03:34:41,2023-10-08 03:34:41
RET00000057,ORD000001166,1,PROD0000457,Item arrived late,completed,2,3228.0,2024-05-25 15:39:07,2024-05-31 15:39:07
