seller_id,seller_name,seller_city,seller_state,seller_tier,seller_pincode,onboarded_date,seller_rating,business_type
SELL000000,Vayu Mart,Ahmedabad,Gujarat,1,504462,2020-12-31,4.0,Brand Store
SELL000001,Zivame Enterprises,Chandigarh,Chandigarh,1,629856,2022-11-22,4.5,Small Business
SELL000002,Vayu Traders,Jaipur,Rajasthan,2,461596,2023-12-29,4.1,Small Business
SELL000003,Prisma Enterprises,Mumbai,Maharashtra,1,503607,2021-12-09,3.7,Individual
SELL000004,BharatTech Retail,Bhubaneswar,Odisha,2,595328,2022-11-16,3.9,Reseller
SELL000005,Zenda Store,Madurai,Tamil Nadu,3,421221,2023-05-31,3.0,Small Business
SELL000006,Indus Enterprises,Mumbai,Maharashtra,1,500739,2023-06-14,3.9,Brand Store
SELL000007,Nova Retail,Delhi,Delhi,1,173648,2022-10-03,3.8,Brand Store
SELL000008,Prisma Enterprises,Patna,Bihar,2,758119,2022-06-16,3.5,Small Business
SELL000009,Bluewood Mart,Surat,Gujarat,2,203922,2022-11-09,3.6,Reseller
SELL000010,Kanha Mart,Chennai,Tamil Nadu,1,760453,2022-09-16,3.8,Small Business
SELL000011,Bluewood Retail,Ahmedabad,Gujarat,1,676494,2023-08-14,4.5,Small Business
SELL000012,Nirvi Store,Patna,Bihar,2,816119,2021-04-14,4.5,Individual
SELL000013,Nirvi Enterprises,Pune,Maharashtra,1,128378,2023-09-19,3.5,Individual
SELL000014,Meraki Mart,Delhi,Delhi,1,271814,2022-10-22,3.7,Small Business
SELL000015,Araku Store,Mumbai,Maharashtra,1,148974,2021-09-17,3.8,Individual
SELL000016,Yugen Enterprises,Kolkata,West Bengal,1,421150,2023-03-20,4.4,Small Business
SELL000017,BharatTech Mart,Madurai,Tamil Nadu,3,784065,2022-02-16,4.1,Reseller
SELL000018,Araku Enterprises,Jaipur,Rajasthan,2,680963,2023-01-23,4.0,Small Business
SELL000019,Araku Store,Chennai,Tamil Nadu,1,634560,2024-01-08,4.3,Individual
SELL000020,Vayu Enterprises,Meerut,Uttar Pradesh,3,742157,2023-03-28,3.7,Small Business
SELL000021,Trisha Store,Chennai,Tamil Nadu,1,113139,2023-06-26,4.7,Individual
SELL000022,Vira Enterprises,Pune,Maharashtra,1,696901,2022-06-29,4.0,Brand Store
SELL000023,Rasa Enterprises,Delhi,Delhi,1,342509,2023-02-15,3.6,Small Business
SELL000024,BharatTech Retail,Coimbatore,Tamil Nadu,2,624823,2021-12-10,3.9,Small Business
SELL000025,Trisha Mart,Patna,Bihar,2,678761,2022-10-30,4.6,Small Business
SELL000026,Nirvi Traders,Guwahati,Assam,3,620964,2023-09-20,3.8,Small Business
SELL000027,Meraki Store,Hyderabad,Telangana,1,421162,2021-07-03,4.5,Individual
SELL000028,Nova Retail,Kolkata,West Bengal,1,565707,2022-02-28,3.7,Individual
SELL000029,Aveer Mart,Delhi,Delhi,1,459309,2023-07-16,3.6,Small Business
SELL000030,Zivame Traders,Siliguri,West Bengal,3,578169,2021-11-13,4.3,Brand Store
SELL000031,Suraj Retail,Mumbai,Maharashtra,1,451859,2023-09-22,3.6,Individual
SELL000032,Nova Mart,Nagpur,Maharashtra,2,403617,2022-06-28,4.4,Individual
SELL000033,Vayu Traders,Patna,Bihar,2,260614,2023-07-20,4.2,Individual
SELL000034,Ovi Retail,Delhi,Delhi,1,398693,2021-09-15,3.6,Small Business
SELL000035,Zivame Mart,Chennai,Tamil Nadu,1,647521,2022-06-27,4.0,Individual
SELL000036,Aveer Traders,Mumbai,Maharashtra,1,758437,2022-03-29,3.7,Brand Store
SELL000037,Prisma Traders,Jaipur,Rajasthan,2,186752,2022-04-20,4.2,Individual
SELL000038,Vira Traders,Panaji,Goa,2,246205,2023-07-17,4.9,Small Business
SELL000039,BharatTech Mart,Kolkata,West Bengal,1,487961,2022-08-21,3.8,Individual
SELL000040,Nirvi Mart,Gangtok,Sikkim,3,633503,2023-04-21,4.3,Small Business
SELL000041,Araku Store,Delhi,Delhi,1,236637,2023-06-24,4.0,Individual
