order_id,carrier,ship_ts,estimated_delivery_date,delivered_ts,delivery_status
ORD000000000,Shadowfax,2023-10-16 04:37:17,2023-10-20,2023-10-19 04:37:17,delivered
ORD000000001,BlueDart,2023-12-21 03:00:17,2023-12-24,2023-12-25 03:00:17,delivered
ORD000000002,XpressBees,2023-03-07 20:56:37,2023-03-13,2023-03-14 20:56:37,delivered
ORD000000003,Shadowfax,2023-12-31 16:16:26,2024-01-07,2024-01-09 16:16:26,delivered
ORD000000004,XpressBees,2023-01-21 14:37:47,2023-01-26,2023-01-25 14:37:47,delivered
ORD000000005,Delhivery,2024-05-01 18:37:34,2024-05-08,2024-05-12 18:37:34,delivered
ORD000000006,Ekart,2023-10-30 17:32:26,2023-11-02,2023-11-06 17:32:26,delivered
ORD000000008,IndiaPost,2023-01-12 10:53:07,2023-01-15,2023-01-16 10:53:07,delivered
ORD000000009,Delhivery,2024-11-09 02:39:01,2024-11-11,2024-11-17 02:39:01,delivered
ORD000000011,Delhivery,2024-05-04 17:23:21,2024-05-06,2024-05-08 17:23:21,delivered
ORD000000012,Shadowfax,2024-08-27 23:59:35,2024-08-31,2024-09-03 23:59:35,delivered
ORD000000013,Ekart,2024-04-16 17:39:29,2024-04-18,2024-04-22 17:39:29,delivered
ORD000000014,Delhivery,2023-11-05 04:32:12,2023-11-09,,in_transit
ORD000000016,XpressBees,2023-08-05 20:42:20,2023-08-08,2023-08-09 20:42:20,delivered
ORD000000017,Shadowfax,2024-02-19 19:30:56,2024-02-22,2024-02-21 19:30:56,delivered
ORD000000018,Shadowfax,2023-06-25 07:52:38,2023-06-27,2023-06-30 07:52:38,delivered
ORD000000019,XpressBees,2024-11-06 03:25:43,2024-11-08,2024-11-10 03:25:43,delivered
ORD000000020,Delhivery,2024-01-06 10:07:47,2024-01-09,,in_transit
ORD000000021,Delhivery,2023-07-20 05:22:38,2023-07-25,2023-07-27 05:22:38,delivered
ORD000000023,XpressBees,2023-03-17 06:06:12,2023-03-20,2023-03-24 06:06:12,delivered
